[ 245.5  616. ]
[ 599.78571429  547.60119048]
[ 241.32704403  507.57232704]
[ 103.23376623  430.94372294]
[ 251.46296296  346.93055556]
[ 579.20915033  283.54248366]
[ 395.3495935    54.23577236]
[ 359.62585034   59.78911565]
[ 186.68181818  534.3030303 ]
[ 321.48076923  114.94230769]
[ 337.73333333  662.18666667]
[ 413.79411765  700.67647059]
[ 626.16666667  421.6       ]
[ 220.52444444  392.27555556]
[ 424.10294118  254.46078431]
[ 365.79166667  569.10416667]
[ 610.1         541.73333333]
[ 250.14516129  496.67741935]
[ 107.13654618  446.2811245 ]
[ 239.02109705  352.48945148]
[ 588.58064516  286.0483871 ]
[ 385.35947712   41.40522876]
[ 358.26797386   72.67973856]
[ 192.43961353  548.74396135]
[ 309.65517241  121.36206897]
[ 347.19047619  673.2952381 ]
[ 394.7  697.3]
[ 609.26775956  422.5136612 ]
[ 210.02941176  393.91176471]
[ 427.8047619   238.45714286]
[ 378.17610063  574.14465409]
[ 607.90625  544.     ]
[ 260.35632184  487.77586207]
[ 103.01777778  460.43555556]
[ 225.3125   357.84375]
[ 597.515625  285.765625]
[ 374.59349593   30.33333333]
[ 346.28070175   85.61403509]
[ 199.52941176  561.29411765]
[ 291.42176871  125.94557823]
[ 352.61904762  688.81904762]
[ 377.1981982   692.34234234]
[ 591.18787879  418.57575758]
[ 196.76666667  392.43333333]
[ 436.32275132  226.35978836]
[ 384.12903226  580.82258065]
[ 605.96969697  559.02164502]
[ 271.92857143  481.71428571]
[  95.72727273  474.62121212]
[ 213.05   365.725]
[ 606.5380117   281.76023392]
[ 373.84496124   29.2248062 ]
[ 328.31292517   88.31292517]
[ 206.77235772  561.42276423]
[ 271.29931973  123.41496599]
[ 351.88888889  685.46031746]
[ 370.          682.69047619]
[ 573.56410256  414.25128205]
[ 184.80769231  388.73931624]
[ 436.62962963  226.26455026]
[ 395.73099415  581.22222222]
[ 604.88262911  570.69483568]
[ 283.66060606  476.06060606]
[  84.56666667  481.6       ]
[ 196.67647059  369.05882353]
[ 616.01058201  282.31216931]
[ 373.8          32.88888889]
[ 320.76111111   75.18333333]
[ 220.30769231  556.5       ]
[ 260.73202614  113.13071895]
[ 351.          680.64285714]
[ 367.08527132  668.31007752]
[ 557.73544974  410.84656085]
[ 174.38812785  383.76255708]
[ 436.73039216  225.79411765]
[ 410.05031447  583.17610063]
