0 [ 245.5  616. ]
0 [ 305.61111111  604.22222222]
1 [ 448.    652.64]
2 [ 678.3372093   382.45348837]
3 [ 194.53448276  378.62068966]
4 [ 478.20689655  331.15517241]
5 [ 300.61111111  587.07407407]
6 [ 527.81481481  586.59259259]
7 [ 257.59393939  544.33333333]
8 [  87.83333333  352.9047619 ]
9 [ 301.66025641  274.5       ]
10 [ 516.46875  342.65625]
11 [ 405.14285714   61.28571429]
12 [ 401.56818182   44.59090909]
13 [ 171.84079602  486.36318408]
14 [ 338.11309524   69.73214286]
0 [ 304.68333333  612.575     ]
1 [ 457.          662.81481481]
2 [ 682.00803213  388.88353414]
3 [ 196.87931034  364.82758621]
4 [ 459.19487179  321.73333333]
5 [ 311.36206897  584.79310345]
6 [ 543.01169591  579.60233918]
7 [ 248.31531532  542.91891892]
8 [  95.60606061  370.02164502]
9 [ 297.86111111  291.86666667]
10 [ 524.5      327.09375]
11 [ 405.18965517   61.34482759]
12 [ 396.17610063   43.59748428]
13 [ 177.69406393  497.02283105]
14 [ 336.2248062    72.15503876]
0 [ 304.   627.5]
1 [ 458.53571429  673.375     ]
2 [ 681.91666667  388.78571429]
3 [ 204.11538462  359.53846154]
4 [ 447.01041667  310.08333333]
5 [ 321.75816993  585.58169935]
6 [ 559.90322581  571.62903226]
7 [ 240.47297297  535.33783784]
8 [  97.   387.5]
9 [ 290.01470588  307.85294118]
10 [ 535.328125    310.05208333]
11 [ 405.16352201   61.46540881]
12 [ 384.7030303    50.48484848]
13 [ 181.10822511  510.91774892]
14 [ 333.29824561   77.80701754]
0 [ 307.01801802  640.79279279]
1 [ 453.97916667  682.875     ]
2 [ 676.48587571  391.06214689]
3 [ 219.08333333  362.45833333]
4 [ 433.34375  297.625  ]
5 [ 325.95321637  574.16374269]
6 [ 575.62068966  562.5       ]
7 [ 234.60606061  528.01515152]
8 [  93.47619048  403.53571429]
9 [ 280.18137255  323.80882353]
10 [ 548.48022599  296.98870056]
11 [ 404.94871795   61.83333333]
12 [ 364.10884354   52.39455782]
13 [ 180.88157895  521.84210526]
14 [ 333.32222222   86.85      ]
0 [ 309.70940171  654.18803419]
1 [ 441.77037037  693.21481481]
2 [ 659.88888889  402.09777778]
3 [ 226.0070922   370.58865248]
4 [ 424.03589744  283.37948718]
5 [ 337.97814208  567.93989071]
6 [ 590.03448276  552.67241379]
7 [ 236.36296296  518.45185185]
8 [  99.23694779  416.02008032]
9 [ 267.78378378  336.48648649]
10 [ 563.62424242  286.73333333]
11 [ 403.98449612   60.62015504]
12 [ 356.98830409   51.83040936]
13 [ 184.24102564  529.47179487]
14 [ 332.40625  102.625  ]
0 [ 320.21428571  659.57142857]
1 [ 428.94444444  699.38888889]
2 [ 643.63541667  413.80729167]
3 [ 227.5  383.5]
4 [ 420.37853107  265.94350282]
5 [ 351.65384615  565.66025641]
6 [ 599.78571429  547.60119048]
7 [ 241.32704403  507.57232704]
8 [ 103.23376623  430.94372294]
9 [ 251.46296296  346.93055556]
10 [ 579.20915033  283.54248366]
11 [ 395.3495935    54.23577236]
12 [ 359.62585034   59.78911565]
13 [ 186.68181818  534.3030303 ]
14 [ 321.48076923  114.94230769]
0 [ 337.73333333  662.18666667]
1 [ 413.79411765  700.67647059]
2 [ 626.16666667  421.6       ]
3 [ 220.52444444  392.27555556]
4 [ 424.10294118  254.46078431]
5 [ 365.79166667  569.10416667]
6 [ 610.1         541.73333333]
7 [ 250.14516129  496.67741935]
8 [ 107.13654618  446.2811245 ]
9 [ 239.02109705  352.48945148]
10 [ 588.58064516  286.0483871 ]
11 [ 385.35947712   41.40522876]
12 [ 358.26797386   72.67973856]
13 [ 192.43961353  548.74396135]
14 [ 309.65517241  121.36206897]
0 [ 347.19047619  673.2952381 ]
1 [ 394.7  697.3]
2 [ 609.26775956  422.5136612 ]
3 [ 210.02941176  393.91176471]
4 [ 427.8047619   238.45714286]
5 [ 378.17610063  574.14465409]
6 [ 607.90625  544.     ]
7 [ 260.35632184  487.77586207]
8 [ 103.01777778  460.43555556]
9 [ 225.3125   357.84375]
10 [ 597.515625  285.765625]
11 [ 374.59349593   30.33333333]
12 [ 346.28070175   85.61403509]
13 [ 199.52941176  561.29411765]
14 [ 291.42176871  125.94557823]
0 [ 352.61904762  688.81904762]
1 [ 377.1981982   692.34234234]
2 [ 591.18787879  418.57575758]
3 [ 196.76666667  392.43333333]
4 [ 436.32275132  226.35978836]
5 [ 384.12903226  580.82258065]
6 [ 605.96969697  559.02164502]
7 [ 271.92857143  481.71428571]
8 [  95.72727273  474.62121212]
9 [ 213.05   365.725]
10 [ 606.5380117   281.76023392]
11 [ 373.84496124   29.2248062 ]
12 [ 328.31292517   88.31292517]
13 [ 206.77235772  561.42276423]
14 [ 271.29931973  123.41496599]
0 [ 351.88888889  685.46031746]
1 [ 370.          682.69047619]
2 [ 573.56410256  414.25128205]
3 [ 184.80769231  388.73931624]
4 [ 436.62962963  226.26455026]
5 [ 395.73099415  581.22222222]
6 [ 604.88262911  570.69483568]
7 [ 283.66060606  476.06060606]
8 [  84.56666667  481.6       ]
9 [ 196.67647059  369.05882353]
10 [ 616.01058201  282.31216931]
11 [ 373.8          32.88888889]
12 [ 320.76111111   75.18333333]
13 [ 220.30769231  556.5       ]
14 [ 260.73202614  113.13071895]
0 [ 351.          680.64285714]
1 [ 367.08527132  668.31007752]
2 [ 557.73544974  410.84656085]
3 [ 174.38812785  383.76255708]
4 [ 436.73039216  225.79411765]
5 [ 410.05031447  583.17610063]
6 [ 603.84684685  569.63963964]
7 [ 296.60233918  472.32748538]
8 [  77.08333333  484.47222222]
9 [ 181.17316017  364.40692641]
10 [ 627.97385621  284.53594771]
11 [ 376.88505747   36.14942529]
12 [ 312.91812865   74.22222222]
13 [ 237.60869565  561.7173913 ]
14 [ 245.15602837  114.0141844 ]
0 [ 351.          680.64285714]
1 [ 368.03174603  652.5       ]
2 [ 541.21468927  407.2259887 ]
3 [ 174.5         373.66145833]
4 [ 436.35        226.28333333]
5 [ 415.88690476  577.23214286]
6 [ 594.19565217  565.54347826]
7 [ 306.97660819  470.13450292]
8 [  81.93939394  490.02164502]
9 [ 166.37984496  354.1627907 ]
10 [ 639.73544974  285.46560847]
11 [ 378.61728395   37.01234568]
12 [ 296.40437158   82.1420765 ]
13 [ 252.28248588  571.75141243]
14 [ 227.45238095  112.26984127]
0 [ 357.50617284  682.09876543]
1 [ 374.91472868  640.03100775]
2 [ 526.09375  403.5    ]
3 [ 176.6         369.16666667]
4 [ 436.43386243  226.18518519]
5 [ 422.33939394  567.72121212]
6 [ 575.35658915  563.37984496]
7 [ 316.66060606  463.22424242]
8 [  81.78787879  508.95238095]
9 [ 156.16862745  340.7372549 ]
10 [ 651.63888889  287.97222222]
11 [ 379.5          37.31818182]
12 [ 276.85875706   83.5480226 ]
13 [ 266.03448276  582.18965517]
14 [ 217.62100457  105.48401826]
0 [ 371.38666667  683.17333333]
1 [ 388.95   634.875]
2 [ 519.  392.]
3 [ 187.42857143  360.        ]
4 [ 436.          226.47916667]
5 [ 435.33333333  562.72222222]
6 [ 558.62962963  566.45185185]
7 [ 327.85310734  464.81920904]
8 [  78.52941176  522.31372549]
9 [ 149.47619048  334.88492063]
10 [ 660.65        284.46666667]
11 [ 424.125        54.91666667]
12 [ 257.45751634   79.71895425]
13 [ 275.66666667  595.26060606]
14 [ 216.21428571  104.39880952]
0 [ 382.66666667  696.83333333]
1 [ 406.14814815  637.01851852]
2 [ 515.22885572  377.15422886]
3 [ 198.58666667  354.68666667]
4 [ 435.01212121  226.97575758]
5 [ 449.71428571  557.85714286]
6 [ 542.57333333  572.57333333]
